배정번호,건조로 온도 1 Zone_min,건조로 온도 1 Zone_max,건조로 온도 1 Zone_mean,건조로 온도 1 Zone_std,건조로 온도 2 Zone_min,건조로 온도 2 Zone_max,건조로 온도 2 Zone_mean,건조로 온도 2 Zone_std,세정기_min,세정기_max,세정기_mean,세정기_std,소입로 CP 값_min,소입로 CP 값_max,소입로 CP 값_mean,소입로 CP 값_std,소입로 온도 1 Zone_min,소입로 온도 1 Zone_max,소입로 온도 1 Zone_mean,소입로 온도 1 Zone_std,소입로 온도 2 Zone_min,소입로 온도 2 Zone_max,소입로 온도 2 Zone_mean,소입로 온도 2 Zone_std,소입로 온도 3 Zone_min,소입로 온도 3 Zone_max,소입로 온도 3 Zone_mean,소입로 온도 3 Zone_std,소입로 온도 4 Zone_min,소입로 온도 4 Zone_max,소입로 온도 4 Zone_mean,소입로 온도 4 Zone_std,솔트 컨베이어 온도 1 Zone_min,솔트 컨베이어 온도 1 Zone_max,솔트 컨베이어 온도 1 Zone_mean,솔트 컨베이어 온도 1 Zone_std,솔트 컨베이어 온도 2 Zone_min,솔트 컨베이어 온도 2 Zone_max,솔트 컨베이어 온도 2 Zone_mean,솔트 컨베이어 온도 2 Zone_std,솔트조 온도 1 Zone_min,솔트조 온도 1 Zone_max,솔트조 온도 1 Zone_mean,솔트조 온도 1 Zone_std,솔트조 온도 2 Zone_min,솔트조 온도 2 Zone_max,솔트조 온도 2 Zone_mean,솔트조 온도 2 Zone_std,양품수량,불량수량,총수량,불량률,불량단계,불량숫자단계,공정상태
102410,97.8385,101.755,99.94345982288827,0.5939714167347511,98.4388,101.247,100.06189551089918,0.48351777349656105,68.2865,71.3073,69.60255960909834,0.8454056009178691,0.430979,0.505652,0.45050500088531736,0.005896680846413614,847.607,870.536,859.4869017163874,3.574044787753585,858.883,861.258,860.0123646826477,0.40065587461239455,859.352,860.889,860.0097519411524,0.2816417282965605,858.474,862.014,860.0105920855469,0.5534626594099047,268.773,295.967,282.58130302411115,9.371744774386435,270.227,288.406,280.14901246424193,6.034271626987853,328.659,329.293,329.01594019888296,0.12274660006096935,328.805,329.3,329.0704664895791,0.11652614414438532,15160,3,15163,0.02,안정,1,1
102585,97.984,101.76,99.98743087074217,0.5154287060229595,98.5958,101.263,100.06503176554628,0.3561416234881782,67.6928,71.4901,69.59118309647342,1.064199529491109,0.4399145,0.4709,0.45019231382058805,0.0027780908343435517,850.938,871.084,859.3332682532522,3.0190488003969054,858.818,861.795,860.008571095571,0.40347326251214816,859.099,860.874,859.9897526881721,0.24106574244086937,858.161,861.513,859.9917650575231,0.4804989290682019,268.844,296.437,282.78815553801036,9.499564747198965,268.607,290.651,279.77231611399355,7.161542153728771,328.703,329.343,328.9986151966313,0.10121948005061375,328.689,329.121,328.92415102639296,0.0891184426063464,29892,10,29902,0.033,위험,0,1
102930,97.7743,101.999,99.99559190882134,0.4727361106275799,98.5116,101.501,100.02164195706978,0.3430748940860363,67.3211,71.3517,69.52949492254095,1.0979226416605523,0.404613,0.473188,0.4493430220146764,0.005879953410197444,850.017,869.805,859.6424025203854,2.82685899951024,858.688,861.587,859.987917886661,0.38444822861698535,859.134,861.064,859.9959805603944,0.2419398703284199,858.316,861.865,860.0074867689572,0.4184312046895851,268.714,297.002,283.33082767503055,9.680617643201115,268.493,289.902,279.3089582684753,6.665152266711243,328.714,329.443,329.13351098921464,0.12011247215483367,328.787,329.383,329.148655776287,0.11556878473724037,59616,30,59646,0.05,위험,0,1
103142,98.3127,101.818,100.00505564525933,0.3314029779733655,98.181,101.395,100.00967452432734,0.251791378065438,67.1142,71.3535,69.53697448702998,1.0642646463575762,0.38364,0.4736305,0.44975310384996553,0.003956900174900149,852.083,869.918,859.8548967568078,1.5416687957910509,859.21,860.839,859.9954735564801,0.2465885932891245,859.286,860.768,859.9969491001356,0.18858599991601102,858.555,861.752,860.0034810834095,0.2967536071138802,267.681,296.633,282.8823412461786,9.49549531720306,268.751,290.161,279.24105723043465,6.537642588299414,328.687,329.38,329.0818832224919,0.09766501057771741,328.623,329.267,329.07310335245415,0.100488987441921,74730,13,74743,0.017,안정,1,1
103675,97.7285,102.076,99.98350205853971,0.6553470093894974,98.4935,101.408,100.04370963332262,0.47074930839546303,67.8759,71.2009,69.32097713895142,0.9917054224221373,0.438666,0.463701,0.44998384729816665,0.0029627936338017997,849.637,872.031,859.8176676584111,3.6836206010969477,859.237,860.924,859.9566775490512,0.29559316759906473,859.317,861.067,860.0242146879023,0.31906617863328973,858.397,862.106,860.0072014961389,0.5712611624715522,266.23,295.982,283.58164787713093,9.70556189136503,270.369,287.75,277.54476865551624,5.36590074546593,328.791,329.261,329.01041780601577,0.08996109868080002,328.9,329.32,329.1140508283738,0.07885255465855551,14979,2,14981,0.013,안정,1,1
103719,98.4748,101.961,100.00262615638982,0.37179859218731054,98.6209,101.562,100.0157533453923,0.27680777957341224,66.8199,71.339,69.2402856990042,1.1274721638995286,0.367097,0.470967,0.4494859034736269,0.006815683691684489,852.565,870.315,859.3982749727711,2.296403864226715,858.798,860.984,859.9975867045277,0.3643130541567508,859.244,860.863,859.9964732174117,0.2351760081234211,858.272,861.878,859.9916820444998,0.39253087697845646,268.348,295.634,282.4901438129692,9.400859873161204,267.842,289.91,278.97197210984905,6.654553568390447,328.546,329.273,328.97656583809857,0.10027478125604754,328.812,329.387,329.1464943402832,0.08589733147808666,59671,3,59674,0.005,안정,1,1
104126,99.2698,102.02,100.04757968227425,0.3696806565049974,99.4547,101.533,100.06072600923639,0.28521969944705583,68.8893,70.7973,69.89815596385063,0.36794753058314145,0.0969111,0.465481,0.34109122942113224,0.14380724283869226,855.002,871.31,860.2589996815034,2.0435339690393066,859.348,861.624,860.0559504260572,0.39024076971261706,859.158,861.136,860.0501610527153,0.3171848120373715,858.318,861.572,860.0030102325211,0.3835267575366608,268.197,295.638,282.6421323060997,9.389187046501705,269.032,288.006,278.76431305248065,6.1760472664834385,328.161,329.272,328.8314109659951,0.29121991228284516,328.073,329.315,328.94564455768773,0.3755671666058515,29914,0,29914,0.0,안정,1,1
104388,97.8595,101.969,99.99792436102749,0.38371269481477477,98.7373,101.408,100.01539191647451,0.2647226561594864,60.6244,67.7261,66.08204015821163,1.443590691349913,0.418617,0.909111,0.45321047103878914,0.029674471602850517,850.381,871.001,859.245639565007,2.4918342483291593,858.075,861.385,860.002379803997,0.3835342267206557,858.608,860.852,860.0039104266752,0.2694217182777793,858.347,861.77,860.0027858849675,0.3140568213032741,268.663,296.396,283.0335816715062,9.326071182504437,268.617,289.893,279.29882403645547,6.378268157968105,328.704,329.659,329.14659753537165,0.1310857159715133,329.083,329.844,329.4706270951212,0.12221018452734767,104740,21,104761,0.02,안정,1,1
105072,98.3049,102.034,100.00030130276112,0.325894699585484,98.7725,101.333,99.99831805952415,0.21660340028076308,64.3598,66.5871,65.76444113669797,0.358651591416519,0.4337975,0.60676,0.45059851053807853,0.007301493172197602,851.431,870.49,859.5505701756867,2.04489069991143,858.927,861.185,860.003291404968,0.312095283085681,859.19,860.689,859.9945567783184,0.19007846042530813,858.145,861.688,859.994297928927,0.3103602334638188,268.469,295.81,282.4268881517526,9.2470896129261,268.71,289.475,279.0910520002263,6.291427899812868,328.775,329.6,329.1626999349253,0.11652795207166207,329.39,329.919,329.61137416188075,0.07923497613213228,89759,8,89767,0.009,안정,1,1
105815,97.9102,101.993,99.99882243249482,0.758475933543489,98.4797,101.576,100.0461818591224,0.598804510270723,64.2251,65.489,64.65512939072237,0.2982626021721193,0.418873,0.47004,0.4498073316797416,0.004553643536844043,849.813,863.392,858.7893880941394,2.8602080038801856,858.357,860.801,859.8995137413394,0.4432009119787512,859.328,860.56,859.9213361790494,0.2619107255841958,858.719,861.822,860.010626009693,0.4165875441585004,268.737,295.304,280.9212241578219,8.780205024813105,269.58,288.238,279.9445836602816,6.293456393513831,328.726,329.269,329.03725057790103,0.09399052636245524,329.307,329.648,329.4926875288684,0.0683794517170231,9020,3,9023,0.033,위험,0,1
